"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"437325","Linfield College-Online and Continuing Education","2009","American Baptist","45250",,,,,,,,,,,,
"440466","University of Phoenix-Idaho","2009","Not applicable","21443","9",,,,,,,,,,,
"441900","Nevada State College","2009","Not applicable","67503","9","72","49","395","480","390","505","16","24",,,
"443410","DigiPen Institute of Technology","2009","Not applicable","63145","59","33","99","530","640","540","670","24","29",,,
"445319","University of Phoenix-Minnesota","2009","Not applicable","39374","0",,,,,,,,,,,
"446048","Ave Maria University","2009","Roman Catholic","54889","52","37","38","510","640","480","600","21","26","33683827","9052248","2194781"
"447050","United States University","2009","Not applicable",,,,,,,,,,,"1181560","126457","5974"
"447689","Georgia Gwinnett College","2009","Not applicable","64845",,,,,,,,,,,,
"449870","University of the West","2009","Not applicable","37907","0",,,,,,,,,"4847088","1273665","6233413"
"450085","The Art Institute of Charleston","2009","Not applicable","38462",,"41","97",,,,,,,,,
"450298","Strayer University-Delaware","2009",,,,,,,,,,,,,,
"451060","Digital Media Arts College","2009","Not applicable","35136","63",,,,,,,,,,,
"454184","The King's College","2009","Interdenominational","57459","69","74","21","610","790","540","630","24","27","12061422","3418595","449384"
"454582","Ottawa University-Online","2009","American Baptist","66777",,,,,,,,,,,,
"455770","Providence Christian College","2009","Undenominational","50105",,"73","71","515","610","480","560","22","26","2618994","1123089","25657"
"456621","Strayer University-West Virginia","2009",,,,,,,,,,,,,,
