"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"166018","Hampshire College","2010","Not applicable","63","24","74304","69","600","710","530","660","25","29","50067960","18284229","36494560"
"166124","College of the Holy Cross","2010","Roman Catholic","35","30","84784","93",,,,,,,"140764771","51961601","522493344"
"166939","Mount Holyoke College","2010","Not applicable","52","31","89153","82",,,,,,,"120623046","48190214","533583430"
"166948","Mount Ida College","2010","Not applicable","72","28","63857","36","400","490","390","490","15","18","36622424","11666984","9989937"
"167251","Newbury College","2010","Not applicable",,,"49986","46",,,,,,,"16210626","4682899","1600000"
"167288","Massachusetts College of Liberal Arts","2010","Not applicable","71","30","67835","51","480","580","450","550","19","22",,,
"167455","Pine Manor College","2010","Not applicable","53","43","53009","34",,,,,,,"16298393","3356153","8505241"
"167792","Bard College at Simon's Rock","2010","Not applicable","80","54","73148",,,,,,,,"20721556","6494553","17282079"
"167835","Smith College","2010","Not applicable","47","34","103691","83",,,,,,,"191788121","78684738","1243560827"
"167996","Stonehill College","2010","Roman Catholic","64","16","71070","85",,,,,,,"79369464","24657349","127606414"
"168218","Wellesley College","2010","Not applicable","33","44","102910","90","640","740","630","740","28","32","186008000","81434000","1330244000"
"168281","Wheaton College","2010","Not applicable","62","23","75876","76",,,,,,,"71487402","23891126","146689850"
"168342","Williams College","2010","Not applicable","20","44","106727","95","660","770","650","760","30","34","175615673","76349775","1468492932"
"168528","Adrian College","2010","United Methodist","61","21","63574","44",,,,,"20","25","35113953","9844001","22360694"
"168546","Albion College","2010","United Methodist","69","24","60305","74","540","600","610","630","25","28","52561178","19398376","143511577"
"168591","Alma College","2010","Presbyterian Church (USA)","19","100","64649","63","540","640","540","640","22","27","37234862","11821738","85138836"
"169080","Calvin College","2010","Christian Reformed Church","92","39","68104","77","510","650","540","670","23","29","120020390","55431652","95401070"
"169363","Concordia University-Ann Arbor","2010","Lutheran Church - Missouri Synod","66","29","34425","38","390","550","410","550","19","23","12392046","3868983","7880018"
"170286","Hillsdale College","2010",,,,,,,,,,,,,,
"170301","Hope College","2010","Reformed Church in America","80","29","64980","78","520","650","540","650","24","29","92894446","30844401","134972981"
"170532","Kalamazoo College","2010","Not applicable","74","24","64654","80","570","690","560","680","26","30","44867722","20008400","131557148"
"170639","Lake Superior State University","2010","Not applicable","77","36","54890","39","450","570","500","610","19","25",,,
"170967","Rochester College","2010","Churches of Christ","57","31","36855","36","360","510","390","500","18","23","12703182","5511230","825121"
"171599","Olivet College","2010","United Church of Christ","54","43","45293","41",,,,,"17","21","16973058","4707331","10314450"
