"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"168546","Albion College","2009","All students, Undergraduate total","1738","909","0","0","0","-2"
"168591","Alma College","2009","All students, Undergraduate total","1444","803",,,,"-2"
"169080","Calvin College","2009","All students, Undergraduate total","4015","2159",,,,"-2"
"169363","Concordia University-Ann Arbor","2009","All students, Undergraduate total","444","236","7","45","11","-2"
"170301","Hope College","2009","All students, Undergraduate total","3230","1944",,,,"-2"
"170532","Kalamazoo College","2009","All students, Undergraduate total","1384","788",,,,"-2"
"170639","Lake Superior State University","2009","All students, Undergraduate total","2568","1315",,,,"-2"
"170967","Rochester College","2009","All students, Undergraduate total","876","504","0","0","0","-2"
"171599","Olivet College","2009","All students, Undergraduate total","1151","518",,,,"-2"
"171881","Kuyper College","2009","All students, Undergraduate total","345","182","7","13","6","-2"
"172440","Finlandia University","2009","All students, Undergraduate total","589","363","0","25","15","-2"
"173142","Bethany Lutheran College","2009","All students, Undergraduate total","646","369",,,,"-2"
"173258","Carleton College","2009","All students, Undergraduate total","2009","1038",,,,"-2"
"173300","Concordia College at Moorhead","2009","All students, Undergraduate total","2788","1698",,,,"-2"
"173647","Gustavus Adolphus College","2009","All students, Undergraduate total","2536","1469",,,,"-2"
"173902","Macalester College","2009","All students, Undergraduate total","1996","1150",,,,"-2"
"174075","University of Minnesota-Crookston","2009","All students, Undergraduate total","2279","1111","26","71","40","-2"
"174251","University of Minnesota-Morris","2009","All students, Undergraduate total","1705","975","48","37","35","-2"
"174394","Sanford-Brown College-Mendota Heights","2009","All students, Undergraduate total","1096","358","44","65","19","-2"
"174437","North Central University","2009","All students, Undergraduate total","1243","700","15","36","45","-2"
"174747","College of Saint Benedict","2009","All students, Undergraduate total","2105","2105","49","16","37","-2"
"174792","Saint Johns University","2009","All students, Undergraduate total","1916","0","20","34","39","-2"
"174844","St Olaf College","2009","All students, Undergraduate total","3099","1715","143","53","62","-2"
"174862","Crown College","2009","All students, Undergraduate total","1061","624","80","37","28","-2"
"175430","Blue Mountain College","2009","All students, Undergraduate total","494","334",,,,"-2"
"175980","Millsaps College","2009","All students, Undergraduate total","1017","507","43","109","23","-2"
"176318","Rust College","2009","All students, Undergraduate total","1072","664",,,,"-2"
"176406","Tougaloo College","2009","All students, Undergraduate total","939","625","1","922","3","-2"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2009","All students, Undergraduate total","1051","540",,,,"-2"
"177144","Culver-Stockton College","2009","All students, Undergraduate total","754","417",,,,"-2"
